Payment No,Payer Code,ORGANIZATION NAME,Beneficiary Name,Amount,Description
1000682012-5,0234004001,FEDERAL ROAD MAINTENANCE AGENCY,CYGNUS INTERNATIONAL LTD,24018688.47,"PAYMENT FOR THE REHABILITATION OF PAP FEDERAL ROAD SPUR AT DIRBI ROAD, BAGORO, BAUCHI STATE C/NO GM/18-161 CERT 1 (F)"
1000682639-1,0229001001,FEDERAL MINISTRY OF TRANSPORT - HQTRS,ARCHIVISUAL SOLUTIONS LTD,21814244.28,"Payment of 5% retension for the provision of transit hotel at MMIA, Lagos."
1000683820-1,0521003001,NATIONAL PRIMARY HEALTH CARE DEVELOPMENT AGENCY,APOCHI  VICTORIA OLUBA,5478000,Payment for logistics and stationery for evaluation and analysis of technical and financial bid document for 2020.
1000683670-1,0161001001,SECRETARY TO THE GOVERNMENT OF THE FEDERATION HQTRS,CADON AUTOS LIMITED,87331151.97,"BEING PAYMENT TO THE COMPANY FOR THE SUPPLY OF 1 NO. TOYOTA LAND CRUISER V8 (2019) AND 1 NO. TOYOTA PRADO TXL2019 FOR TH NIGERIA IN DIASPORA COMMISSION, FEDERAL SECRETARIAT, PHASE I, ABUJA."
1000683670-2,0161001001,SECRETARY TO THE GOVERNMENT OF THE FEDERATION HQTRS,FEDERAL INLAND REVENUE SERVICES,6894564.63,Payer:09577961-0001 CADON AUTOS LIMITED | MDA:0161001001 SECRETARY TO THE GOVERNMENT OF THE FEDERATION HQTRS | Tax:VAT7.5% | Invoice No: | Invoice Amount:98822093.02
1000681187-5,0234004001,FEDERAL ROAD MAINTENANCE AGENCY,GODALMIING WORLDWIDE COMPANY LIMITED,45549753.71,PAYMENT FOR THE MAINTENANCE REPAIRS OF AHOADA ABUA DEGEMA (KM.0+000-45+000) IN RIVERS STATE C/NO GM/18-114 CERT 2 (F)
1000681187-1,0234004001,FEDERAL ROAD MAINTENANCE AGENCY,AUTOSTRADA WORKS NIGERIA LIMITED,30391549.07,"PAYMENT FOR MAINTENANCE OF AWAKAMBUTU-UMUOSHI ROAD, UVURU ROAD, ABO MBAISE IMO STATE C/NO GM/18-275 CERT 1 (F)"
1000683847-1,0517019005,FEDERAL COLLEGE OF EDUCATION GOMBE,ASIGHNET NIGERIA LIMITED,14996397,CONSTRUCTION OF GATE
1000683857-11,0229002001,NIGERIAN INSTITUTE OF TRANSPORT TECHNOLOGY,SECURE WORLD & SABIHAM NIG LTD,17575000,BEING PART-PAYMENT FOR THE SUPPLY AND INSTALLATION OF E-LIBRARY AND ASSOCIATED COST CERT. NO. 1 PV NO. 488 DATED 04/05/20
1000683857-14,0229002001,NIGERIAN INSTITUTE OF TRANSPORT TECHNOLOGY,GIBKAM  NIGERIA LIMITED,12867886.71,"BEING PAYMENT FOR THE SUPPLY OF OFFICE FURNITURE AT REGISTRY, & TRAINING DEPARTMENTS AND 33KVA GEN. CERT N0 1 PV NO. 435 DATED 07/04/20"
1000683857-17,0229002001,NIGERIAN INSTITUTE OF TRANSPORT TECHNOLOGY,DESERT FOUNTAIN INVESTMENT LIMITED,21968750,BEING PART-PAYMENT FOR THE CONSTRUCTION OF TECHNICAL SIMULATORS WORKSHOP AT KANKARA CERT NO 2 PV NO 460 DATED 22/04/20
1000673162-1,0234001001,FEDERAL MINISTRY OF WORKS AND HOUSING,SETRACO NIGERIA LIMITED,623395091.92,BEING PAYMENT FOR THE NNENWE-ODUMA-MPU ( ENUGU STATE) UBURU ( EBONYI STATE ) C/NO 6148.
1000683869-1,0228044001,NATIONAL RESEARCH INSTITUTE FOR CHEMICAL TECHNOLOGY -ZARIA,Usman Sani Danjuma,51274524.66,BEING PAYMENT OF 5% PROJECTS ADMINISTRATION FUNDS FOR THE YEAR 2020 CAPITAL PROJECTS
1000683880-11,0161022001,BORDER COMMUNITIES DEVELOPMENT AGENCY (BCDA) HQTRS,LOMAFEM ENGINEERING NIGERIA LIMITED,10690287.18,electrification of agbatoro ala ago dada communties in akure north ondo state
